"month","member_casual","total_count","month_name"
"01","casual",14014,"January"
"01","member",51521,"January"
"02","casual",14532,"February"
"02","member",51003,"February"
"03","casual",16759,"March"
"03","member",48776,"March"
"04","casual",20078,"April"
"04","member",45457,"April"
"05","casual",24899,"May"
"05","member",40636,"May"
"06","casual",31210,"June"
"06","member",34325,"June"
"07","casual",25337,"July"
"07","member",40198,"July"
"08","casual",35805,"August"
"08","member",29730,"August"
"09","casual",29982,"September"
"09","member",35553,"September"
"10","casual",21809,"October"
"10","member",43726,"October"
"11","casual",19417,"November"
"11","member",46118,"November"
"12","casual",15833,"December"
"12","member",49702,"December"
